WA20501R-140617-015,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,WTSP,1,1,3,S,,,A,M,,,,,
WA20501R-140617-016,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,WTSP,3,3,3,S,,,A,M,,,,,
WA20501R-140617-017,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,WTSP,1,4,3,S,,,A,M,,,,,
WA20501R-140617-018,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,BHVI,1,4,1,S,,,A,M,,,,,
WA20501R-140617-019,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,SOSA,5,1,2,C,,,A,U,,,,,
WA20501R-140617-020,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,WIWR,5,2,2,S,,,A,M,,,,,
WA20501R-140617-021,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,WAVI,5,4,2,S,,,A,M,,,,,
WA20501R-140617-022,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,WISN,1,4,3,C,S,,A,U,WI,,,,
WA20502G-140617-001,WA20502G,WA20502G-1,17/06/2014,7:15:00 AM,n_a,1,32,AMRO,1,1,1,S,,,A,M,,,,,
WA20502G-140617-002,WA20502G,WA20502G-1,17/06/2014,7:15:00 AM,n_a,1,32,YBFL,1,1,1,S,,,A,M,,,,,
WA20502G-140617-003,WA20502G,WA20502G-1,17/06/2014,7:15:00 AM,n_a,1,32,TEWA,1,1,1,S,,,A,M,,,,,
WA20502G-140617-004,WA20502G,WA20502G-1,17/06/2014,7:15:00 AM,n_a,1,32,SWTH,1,1,1,S,,,A,M,,,,,
WA20502G-140617-005,WA20502G,WA20502G-1,17/06/2014,7:15:00 AM,n_a,1,32,YRWA,1,1,2,S,,,A,M,,,,,
WA20502G-140617-006,WA20502G,WA20502G-1,17/06/2014,7:15:00 AM,n_a,1,32,SWTH,1,2,2,S,,,A,M,,,,,
WA20502G-140617-007,WA20502G,WA20502G-1,17/06/2014,7:15:00 AM,n_a,1,32,SWTH,5,3,1,S,,,A,M,,,,,
WA20502G-140617-008,WA20502G,WA20502G-1,17/06/2014,7:15:00 AM,n_a,1,32,DEJU,5,4,2,S,,,A,M,,,,,
WA20502G-140617-009,WA20502G,WA20502G-1,17/06/2014,7:15:00 AM,n_a,1,32,CHSP,1,4,2,S,,,A,M,,,,,
WA20502G-140617-010,WA20502G,WA20502G-1,17/06/2014,7:15:00 AM,n_a,1,32,HETH,1,4,2,S,,,A,M,,,,,
WA20502G-140617-011,WA20502G,WA20502G-1,17/06/2014,7:15:00 AM,n_a,1,32,NOFL,1,4,2,S,,,A,M,,,,,
WA20503G-140617-001,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,CORA,1,1,3,C,,,U,U,FO,,,,
WA20503G-140617-002,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,YBFL,1,1,2,C,,,A,U,,,,,
WA20503G-140617-003,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,WTSP,3,1,2,S,,,A,M,,,,,
WA20503G-140617-004,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,CHSP,1,1,2,S,,,A,M,,,,,
WA20503G-140617-005,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,PIWO,1,1,1,V,,,A,U,FT,,,,
WA20503G-140617-006,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,YRWA,1,2,1,S,,,A,M,,,,,
WA20503G-140617-007,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,RCKI,1,2,1,S,,,A,M,,,,,
WA20503G-140617-008,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,SWTH,1,2,2,S,,,A,M,,,,,
WA20503G-140617-009,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,WTSP,1,2,2,S,,,A,M,,,,,
WA20503G-140617-010,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,RBGR,5,3,1,S,,,A,M,,,,,
WA20503G-140617-011,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,OVEN,5,3,2,S,,,A,M,,,,,
WA20503G-140617-012,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,BHVI,1,3,2,S,,,A,M,,,,,
WA20503G-140617-013,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,LISP,3,4,1,S,,,A,M,,,,,
WA20503G-140617-014,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,WISN,1,4,2,C,,,A,U,,,,,
WA20503G-140617-015,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,BHVI,1,4,2,S,,,A,M,,,,,
WA20503G-140617-016,WA20503G,WA20503G-1,17/06/2014,7:56:00 AM,n_a,1,32,SACR,5,4,3,C,,,A,U,,,,,
WA20503N-140618-001,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,CCSP,1,1,1,S,,,A,M,,,,,
WA20503N-140618-002,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,CCSP,5,3,1,V,,,A,U,,,,,
WA20503N-140618-003,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,CCSP,1,3,2,S,,,A,M,,,,,
WA20503N-140618-004,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,WTSP,3,2,1,S,,,A,M,,,,,
WA20503N-140618-005,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,WTSP,5,4,2,S,,,A,M,,,,,
WA20503N-140618-006,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,CCSP,5,3,1,C,,,A,U,,,,,
WA20503N-140618-007,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,REVI,1,2,1,S,,,A,M,,,,,
WA20503N-140618-008,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,REVI,1,3,1,S,,,A,M,,,,,
WA20503N-140618-009,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,YWAR,1,2,1,S,,,A,M,,,,,
WA20503N-140618-010,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,TEWA,1,2,1,S,,,A,M,,,,,
WA20503N-140618-011,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,TEWA,5,4,1,S,,,A,M,,,,,
WA20503N-140618-012,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,TEWA,1,2,2,S,,,A,M,,,,,
WA20503N-140618-013,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,ALFL,1,3,1,S,,,A,M,,,,,
WA20503N-140618-014,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,LEFL,5,3,1,S,,,A,M,,,,,
WA20503N-140618-015,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,WAVI,3,2,2,S,,,A,M,,,,,
WA20503N-140618-016,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,NHOW,5,2,2,V,,,A,U,,,,,
WA20503N-140618-017,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,NHOW,1,2,2,V,C,,A,U,,,,,
WA20503N-140618-018,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,NHOW,5,1,3,V,,,A,U,,,,"Possibly same as individual #1, perhaps circling NHOW #2",
WA20503N-140618-019,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,COYE,,3,2,S,,,A,M,,,,,
WA20503N-140618-020,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,RWBL,3,4,2,S,,,A,M,,,,,
WA20503N-140618-021,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,MOWA,5,4,2,S,,,A,M,,,,,
WA20503N-140618-022,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,ALFL,5,4,2,S,,,A,M,,,,,
WA20503N-140618-023,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,GRAJ,1,1,3,C,,,U,U,,,,dive-bombing NHOW #3,
WA20503N-140618-024,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,NOFL,1,3,3,C,,,A,U,,,,,
WA20503N-140618-025,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,NOFL,5,1,3,V,,,A,U,,,,Dive-bombing NHOW #3,
WA20503N-140618-026,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,WEWP,5,4,3,S,,,A,M,,,,,
WA20503N-140618-027,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,OSFL,1,4,3,S,,,A,M,,,,,
WA20503N-140618-028,WA20503N,WA20503N-1,18/06/2014,5:57:00 AM,n_a,1,28,WETA,1,4,3,S,,,A,M,,,,,
WA20503R-140618-001,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,ALFL,3,1,1,C,,,A,U,,,,,
WA20503R-140618-002,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,ALFL,5,2,2,S,,,A,M,,,,,
WA20503R-140618-003,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,LISP,5,1,1,S,,,A,M,,,,,
WA20503R-140618-004,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,LISP,1,2,1,S,,,A,M,,,,,
WA20503R-140618-005,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,LISP,1,3,1,S,,,A,M,,,,,
WA20503R-140618-006,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,LISP,1,3,1,S,,,A,M,,,,,
WA20503R-140618-007,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,LISP,1,2,2,S,,,A,M,,,,,
WA20503R-140618-008,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,LEYE,1,4,1,C,V,,A,P,DC,,,,
WA20503R-140618-009,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,LEYE,3,4,1,C,V,,A,P,DC,,,,
WA20503R-140618-010,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,GRYE,1,4,1,C,V,,A,P,DC,,,,
WA20503R-140618-011,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,GRYE,1,4,1,C,V,,A,P,DC,,,,
WA20503R-140618-012,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,UNSP,1,2,1,C,,,U,U,FT,,,,
WA20503R-140618-013,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,CCSP,5,1,2,S,,,A,M,,,,,
WA20503R-140618-014,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,SOSP,1,2,2,S,,,A,M,,,,,
WA20503R-140618-015,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,YBSA,1,4,2,C,,,A,U,,,,,
WA20503R-140618-016,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,CEDW,1,4,2,V,,,A,U,,,,,
WA20503R-140618-017,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,WTSP,3,4,2,C,,,A,U,,,,,
WA20503R-140618-018,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,WTSP,5,3,3,S,,,A,M,,,,,
WA20503R-140618-019,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,CONW,1,2,3,S,,,A,M,,,,,
WA20503R-140618-020,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,AMKE,5,2,3,V,,,A,P,,,,,
WA20503R-140618-021,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,AMKE,5,2,3,V,,,A,P,,,,,
WA20503R-140618-022,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,TEWA,5,2,3,S,,,A,M,,,,,
WA20503R-140618-023,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,OVEN,1,2,3,S,,,A,M,,,,,
WA20503R-140618-024,WA20503R,WA20503R-1,18/06/2014,6:31:00 AM,n_a,1,28,OVEN,5,3,3,S,,,A,M,,,,,
WA20504G-140617-001,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,YBFL,1,1,2,S,,,A,M,,,,,
WA20504G-140617-002,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,SWTH,1,1,2,S,,,A,M,,,,,
WA20504G-140617-003,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,YRWA,1,1,2,S,,,A,M,,,,,
WA20504G-140617-004,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,HETH,1,1,2,S,,,A,M,,,,,
WA20504G-140617-005,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,PAWA,1,1,1,S,,,A,M,,,,,
WA20504G-140617-006,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,DEJU,5,2,1,S,,,A,M,,,,,
WA20504G-140617-007,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,YRWA,1,2,1,V,,,A,F,,,,,
WA20504G-140617-008,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,YBFL,5,2,1,S,,,A,M,,,,,
WA20504G-140617-009,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,GRAJ,3,3,1,C,,,U,U,,,,,
WA20504G-140617-010,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,YRWA,1,3,2,S,,,A,M,,,,,
WA20504G-140617-011,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,WTSP,3,3,2,S,,,A,M,,,,,
WA20504G-140617-012,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,HETH,3,3,2,S,,,A,M,,,,,
WA20504G-140617-013,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,CORA,1,3,3,C,,,U,U,FO,,,,
WA20504G-140617-014,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,YRWA,1,4,1,S,,,A,M,,,,,
WA20504G-140617-015,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,WWCR,1,4,1,C,,,U,U,FO,,,,
WA20504G-140617-016,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,RCKI,1,4,1,S,,,A,M,,,,,
WA20504G-140617-017,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,PAWA,5,4,2,S,,,A,M,,,,,
WA20504G-140617-018,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,CCSP,1,4,2,S,,,A,M,,,,,
WA20504G-140617-019,WA20504G,WA20504G-1,17/06/2014,6:09:00 AM,n_a,1,32,SWTH,1,4,2,S,,,A,M,,,,,
WA20504N-140617-001,WA20504N,WA20504N-1,17/06/2014,6:26:00 AM,n_a,1,28,OVEN,1,2,1,S,,,A,M,,,,,
WA20504N-140617-002,WA20504N,WA20504N-1,17/06/2014,6:26:00 AM,n_a,1,28,OVEN,5,1,2,S,,,A,M,,,,,
WA20504N-140617-003,WA20504N,WA20504N-1,17/06/2014,6:26:00 AM,n_a,1,28,OVEN,1,2,2,S,,,A,M,,,,,
WA20504N-140617-004,WA20504N,WA20504N-1,17/06/2014,6:26:00 AM,n_a,1,28,WTSP,5,3,1,C,,,U,U,,,,,
WA20504N-140617-005,WA20504N,WA20504N-1,17/06/2014,6:26:00 AM,n_a,1,28,WTSP,1,1,2,S,,,A,M,,,,,
WA20504N-140617-006,WA20504N,WA20504N-1,17/06/2014,6:26:00 AM,n_a,1,28,WTSP,1,3,2,C,S,,A,M,,,,,
WA20504N-140617-007,WA20504N,WA20504N-1,17/06/2014,6:26:00 AM,n_a,1,28,REVI,1,2,2,S,,,A,M,,,,,
WA20504N-140617-008,WA20504N,WA20504N-1,17/06/2014,6:26:00 AM,n_a,1,28,LEFL,5,3,2,S,,,A,M,,,,,
WA20504S-140617-001,WA20504S,WA20504S-1,17/06/2014,6:53:00 AM,n_a,1,28,OVEN,1,1,1,S,,,A,M,,,,,
WA20504S-140617-002,WA20504S,WA20504S-1,17/06/2014,6:53:00 AM,n_a,1,28,OVEN,1,1,2,S,,,A,M,,,,,
WA20504S-140617-003,WA20504S,WA20504S-1,17/06/2014,6:53:00 AM,n_a,1,28,OVEN,1,2,2,S,,,A,M,,,,,
WA20504S-140617-004,WA20504S,WA20504S-1,17/06/2014,6:53:00 AM,n_a,1,28,OVEN,1,3,2,S,,,A,M,,,,,
WA20504S-140617-005,WA20504S,WA20504S-1,17/06/2014,6:53:00 AM,n_a,1,28,OVEN,1,4,2,S,,,A,M,,,,,
WA20504S-140617-006,WA20504S,WA20504S-1,17/06/2014,6:53:00 AM,n_a,1,28,YRWA,1,4,1,S,,,A,M,,,,,
WA20505G-140617-001,WA20505G,WA20505G-1,17/06/2014,9:10:00 AM,n_a,1,32,YBFL,1,1,1,S,,,A,M,,,,,
WA20505G-140617-002,WA20505G,WA20505G-1,17/06/2014,9:10:00 AM,n_a,1,32,YRWA,1,1,1,S,,,A,M,,,,,
WA20505G-140617-003,WA20505G,WA20505G-1,17/06/2014,9:10:00 AM,n_a,1,32,GRAJ,1,2,1,C,,,U,U,,,,,
WA20505G-140617-004,WA20505G,WA20505G-1,17/06/2014,9:10:00 AM,n_a,1,32,RECR,1,2,2,C,,,U,U,FO,,,,
WA20505G-140617-005,WA20505G,WA20505G-1,17/06/2014,9:10:00 AM,n_a,1,32,CHSP,5,2,2,S,,,A,M,,,,,
WA20505G-140617-006,WA20505G,WA20505G-1,17/06/2014,9:10:00 AM,n_a,1,32,PAWA,1,3,1,S,,,A,M,,,,,
WA20505G-140617-007,WA20505G,WA20505G-1,17/06/2014,9:10:00 AM,n_a,1,32,SWTH,1,4,1,S,,,A,M,,,,,
WA20505G-140617-008,WA20505G,WA20505G-1,17/06/2014,9:10:00 AM,n_a,1,32,PAWA,5,4,2,S,,,A,M,,,,,
WA20506G-140617-001,WA20506G,WA20506G-1,17/06/2014,8:35:00 AM,n_a,1,32,GRYE,5,1,3,C,,,A,U,FO,,,,
WA20506G-140617-002,WA20506G,WA20506G-1,17/06/2014,8:35:00 AM,n_a,1,32,WETA,1,1,2,S,,,A,M,,,,,
WA20506G-140617-003,WA20506G,WA20506G-1,17/06/2014,8:35:00 AM,n_a,1,32,GRAJ,1,1,1,C,,,U,U,,,,,
WA20506G-140617-004,WA20506G,WA20506G-1,17/06/2014,8:35:00 AM,n_a,1,32,CHSP,5,2,1,S,,,A,M,,,,,
WA20506G-140617-005,WA20506G,WA20506G-1,17/06/2014,8:35:00 AM,n_a,1,32,DEJU,1,2,2,S,,,A,M,,,,,
WA20506G-140617-006,WA20506G,WA20506G-1,17/06/2014,8:35:00 AM,n_a,1,32,YRWA,5,3,1,S,,,A,M,,,,,
WA20506G-140617-007,WA20506G,WA20506G-1,17/06/2014,8:35:00 AM,n_a,1,32,HETH,1,3,1,S,,,A,M,,,,,
WA20506G-140617-008,WA20506G,WA20506G-1,17/06/2014,8:35:00 AM,n_a,1,32,SWTH,1,3,2,S,,,A,M,,,,,
WA20506G-140617-009,WA20506G,WA20506G-1,17/06/2014,8:35:00 AM,n_a,1,32,RCKI,1,3,2,S,,,A,M,,,,,
WA20506G-140617-010,WA20506G,WA20506G-1,17/06/2014,8:35:00 AM,n_a,1,32,RESQ,5,3,1,C,,,U,U,,,,,
WA20506R-140618-001,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,CHSP,5,1,1,C,,,A,M,FT,,,,
WA20506R-140618-002,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,ALFL,1,4,1,C,,,A,U,,,,,
WA20506R-140618-003,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,ALFL,1,4,1,C,,,A,U,,,,,
WA20506R-140618-004,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,WTSP,3,1,2,S,,,A,M,,,,,
WA20506R-140618-005,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,WTSP,1,2,2,C,,,A,U,,,,,
WA20506R-140618-006,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,WTSP,3,2,3,S,,,A,M,,,,,
WA20506R-140618-007,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,LISP,1,1,2,S,,,A,M,,,,,
WA20506R-140618-008,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,LISP,1,1,3,S,,,A,M,,,,,
WA20506R-140618-009,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,GRAJ,5,1,3,C,,,U,U,,,,,
WA20506R-140618-010,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,DEJU,3,2,3,S,,,A,M,,,,,
WA20506R-140618-011,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,ALFL,1,2,3,S,,,A,M,,,,,
WA20506R-140618-012,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,ALFL,3,3,3,S,,,A,M,,,,,
WA20506R-140618-013,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,HETH,,3,3,S,,,A,M,,,,,
WA20506R-140618-014,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,HETH,1,4,3,S,,,A,M,,,,,
WA20506R-140618-015,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,MOWA,5,3,3,S,,,A,M,,,,,
WA20506R-140618-016,WA20506R,WA20506R-1,18/06/2014,8:01:00 AM,n_a,1,28,RWBL,1,4,3,S,,,A,M,,,,,
WA20507G-140617-001,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,WTSP,1,1,3,S,,,A,M,,,,,
WA20507G-140617-002,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,WTSP,1,1,2,S,,,A,M,,,,,
WA20507G-140617-003,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,COYE,1,1,2,S,,,A,M,,,,,
WA20507G-140617-004,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,GRYE,1,1,2,C,,,A,U,,,,,
WA20507G-140617-005,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,YBSA,1,1,2,S,,,A,M,DR,,,,Check recording
WA20507G-140617-006,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,SWTH,1,1,2,S,,,A,M,,,,,
WA20507G-140617-007,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,YRWA,1,1,1,S,,,A,M,,,,,
WA20507G-140617-008,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,GRAJ,3,1,1,C,,,U,U,,,,,
WA20507G-140617-009,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,GRAJ,3,1,1,C,,,U,U,,,,,
WA20507G-140617-010,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,BOCH,5,2,1,C,,,A,U,,,,,
WA20507G-140617-011,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,WTSP,3,2,2,S,,,A,M,,,,,
WA20507G-140617-012,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,WTSP,5,2,3,S,,,A,M,,,,,
WA20507G-140617-013,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,COYE,1,3,1,S,,,A,M,,,,,
WA20507G-140617-014,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,LISP,1,3,2,S,,,A,M,,,,,
WA20507G-140617-015,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,ALFL,5,3,2,S,,,A,M,,,,,
WA20507G-140617-016,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,WTSP,1,3,2,S,,,A,M,,,,,
WA20507G-140617-017,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,WISN,3,3,2,S,,,A,M,WI,,,,
WA20507G-140617-018,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,WTSP,5,3,3,S,,,A,M,,,,,
WA20507G-140617-019,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,RESQ,1,4,1,C,,,U,U,,,,,
WA20507G-140617-020,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,TRES,5,4,2,C,,,A,U,FO,,,,
WA20507G-140617-021,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,LISP,1,4,2,S,,,A,M,,,,,
WA20507G-140617-022,WA20507G,WA20507G-1,17/06/2014,5:37:00 AM,n_a,1,32,WTSP,1,4,2,S,,,A,M,,,,,
WA20507N-140618-001,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,WTSP,3,1,1,S,,,A,M,,,,,
WA20507N-140618-002,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,WTSP,1,3,3,S,,,A,M,,,,,
WA20507N-140618-003,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,BCCH,1,1,1,S,,,A,M,,,,,
WA20507N-140618-004,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,ALFL,1,1,1,S,,,A,M,,,,,
WA20507N-140618-005,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,ALFL,1,3,1,S,,,A,M,,,,,
WA20507N-140618-006,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,LISP,3,2,1,V,S,C,A,M,,,,,
WA20507N-140618-007,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,LISP,5,3,1,V,,,A,U,,,,,
WA20507N-140618-008,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,TEWA,1,3,1,S,,,A,M,,,,,
WA20507N-140618-009,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,ALFL,,4,1,S,,,A,M,,,,,
WA20507N-140618-010,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,AMRE,1,4,1,S,,,A,M,,,,,
WA20507N-140618-011,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,ALFL,1,1,2,S,,,A,M,,,,,
WA20507N-140618-012,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,YWAR,1,1,2,S,,,A,M,,,,,
WA20507N-140618-013,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,COYE,1,1,2,S,,,A,M,,,,,
WA20507N-140618-014,WA20507N,WA20507N-1,18/06/2014,7:04:00 AM,n_a,1,28,NOWA,5,4,2,S,,,A,M,,,,,
